Course Code,SIS Student ID,Attendance,Class Date
GER  1301 02 in 08B/112,85128,present,2024-02-08
GER  1301 02 in 08B/112,90874,present,2024-02-08
GER  1301 02 in 08B/112,98869,present,2024-02-08
GER  1301 02 in 08B/112,89960,present,2024-02-08
GER  1301 02 in 08B/112,84774,present,2024-02-08
GER  1301 02 in 08B/112,119246,present,2024-02-08
FIN  3302 02 in 06/008,111995,present,2024-02-08
FIN  3302 02 in 06/008,106802,present,2024-02-08
FIN  3302 02 in 06/008,100876,present,2024-02-08
FIN  3302 02 in 06/008,116754,present,2024-02-08
FIN  3302 02 in 06/008,122159,present,2024-02-08
FIN  3302 02 in 06/008,105448,present,2024-02-08
FIN  3302 02 in 06/008,103838,present,2024-02-08
FIN  3302 02 in 06/008,89163,present,2024-02-08
FIN  3302 02 in 06/008,98625,absent,2024-02-08
FIN  3302 02 in 06/008,135299,present,2024-02-08
FIN  3302 02 in 06/008,91684,present,2024-02-08
FIN  3302 02 in 06/008,101500,present,2024-02-08
FIN  3302 02 in 06/008,106061,present,2024-02-08
FIN  3302 02 in 06/008,121315,present,2024-02-08
FIN  3302 02 in 06/008,86114,present,2024-02-08
FIN  3302 02 in 06/008,102993,present,2024-02-08
FIN  3302 02 in 06/008,117586,present,2024-02-08
FIN  3302 02 in 06/008,88289,present,2024-02-08
SCM  3301 02 in 04/105,111532,present,2024-02-08
GER  1301 02 in 08B/112,85404,present,2024-02-08
SCM  3301 02 in 04/105,105984,present,2024-02-08
GER  1301 02 in 08B/112,117754,absent,2024-02-08
GER  1301 02 in 08B/112,84412,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,81534,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,90461,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,98222,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,105472,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,90361,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,87174,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,99029,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,97337,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,104341,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,84623,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,84521,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,102986,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,107558,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,84756,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,103393,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,100740,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,105453,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,100844,present,2024-02-08
GER  1301 02 in 08B/112,98901,absent,2024-02-08
GER  1301 02 in 08B/112,94469,absent,2024-02-08
GER  1301 02 in 08B/112,86152,present,2024-02-08
GER  1301 02 in 08B/112,101043,present,2024-02-08
